@relation SemEval2016-Task6-subtaskA-testdata-gold-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-H

@attribute Tweet string
@attribute Target string
@attribute Stance {AGAINST,FAVOR}

@data
'I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST',Atheism,AGAINST
'He became a slave to the cross that men could go free! #SemST',Atheism,AGAINST
'Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST',Atheism,AGAINST
'Phew! Am glad we came to our senses and worship a 2,000 year old carpenter. - Bart Simpson #jokes #SemST',Atheism,AGAINST
'Exo.28.12 - ...So that I, the Lord, will always remember... #SemST',Atheism,AGAINST
'#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST',Atheism,AGAINST
'Father, grant us grace to remain holy and a vessel of honour in ur house. #OpenHeaven #NatiVarietySunday #SundayMorningShow #SemST',Atheism,AGAINST
'Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST',Atheism,AGAINST
'I still remember the days when I prayed God for strength.. then suddenly God gave me difficulties to make me strong. Thank you God! #SemST',Atheism,AGAINST
'You\'ll never know how much God can do in your life until you ask.  #lifechangingJourneywithJesus #SemST',Atheism,AGAINST
'Jesus response to a religious environment  was to create a royal environment.  It drove people nuts. Still does - thank God #SemST',Atheism,AGAINST
'Sanctify them through Thy Truth: Thy Word is Truth   John 17:17 KJV  #SemST',Atheism,AGAINST
'Psalm 86:17 Is. 7:14 God will give you a sign. \"\"Father, within the next 3 days, show me a sign; a token. #SemST',Atheism,AGAINST
'The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST',Atheism,AGAINST
'American conservatism has everything to do with religion with all the good stuff taking out of it. #SemST',Atheism,AGAINST
'The #humanist church is the new cloth. #kissTheRing #tcot #SemST',Atheism,AGAINST
'You stay the same through the ages, Your love never changes...Your love never fails. #SemST',Atheism,AGAINST
'Just know that you\'re not an accident and that you\'re here by HIS divine providence.  #tcot #pjnet #ccot #christian #SemST',Atheism,AGAINST
'I am addicted to your light.  Everywhere I look you are there. I can feel your Halo, I pray you won\'t fade away.   #SemST',Atheism,AGAINST
'FAITH sees beyond the difficulties and counts on God.  -Colon Smith #SemST',Atheism,AGAINST
'Watch @Dame_Lillard bring the Blazers to the playoff #Beast #SemST',Atheism,AGAINST
'The Irish national school system is secular under law. We can reaffirm secularism by going through the courts! @HumanismIreland #SemST',Atheism,AGAINST
'We often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - Charles Spurgeon #GOD #SemST',Atheism,AGAINST
'@dsurman  Jesus is favor of all, that they would believe He died for them. Why try to wage a conflict you will lose? #God #SemST',Atheism,AGAINST
'Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST',Atheism,AGAINST
'Proud to be #TeamJinnah :) No Bhutto, no Imran\'s , only Jinnah\'s Pakistan :) #Inclusive #SemST',Atheism,AGAINST
'Great baptism service at #woodgreen very moving stories of people\'s faith in #rich_lacey #SemST',Atheism,AGAINST
'Religious holidays should not be public. #RightsAndRecourse #Transformation #SemST',Atheism,AGAINST
'I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST',Atheism,AGAINST
'RT @br_holden: Religions are perfectly happy to peddle an afterlife that doesn\'t actually exist.  #freethinker #SemST',Atheism,AGAINST
'RT @br_holden: Superstition-based thoughts tend to be wasted thoughts.  #freethinker #SemST',Atheism,AGAINST
'RT @br_holden: Just say no to superstitious thought in general and religions in particular.  #freethinker #SemST',Atheism,AGAINST
'RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST',Atheism,AGAINST
'RT @GMHumanistChoir: We\'re currently looking for new members to join our choir, all welcome, no auditions. #87RT #choir #Manchest... #SemST',Atheism,AGAINST
'@Rowdman53 Atheist are offended with Christian Symbols  + Only when when forced where they don\'t belong. #SemST',Atheism,AGAINST
'Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking, honest, open it is truth we find. #SemST',Atheism,AGAINST
'Your word has given me life -Ps. 119:49-50 #SemST',Atheism,AGAINST
'God gives us the right to do what we want; as long as we understand the outcomes of our actions. #spiritual #SemST',Atheism,AGAINST
'The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST',Atheism,AGAINST
'RT @faithsns716: Psalm103:3-Who forgives all your iniquities; who heals all your diseases #SemST',Atheism,AGAINST
'James 1:14 (#KJV) But every man is TEMPTED, when he is drawn away of his own LUST, and enticed.  #God #Lord #Christ #Holy #Spirit #SemST',Atheism,AGAINST
'We are human. It is human nature to eat and drink ourselves destitute, fuck each other raw, and kill each other. #SemST',Atheism,AGAINST
'RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST',Atheism,AGAINST
'@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore.... Your child is. #SemST',Atheism,AGAINST
'Is near where we will be told not 2 preach in The Name Acts 4:12 There is salvation in no 1 else...NLT #DCM2015 but #SemST',Atheism,AGAINST
'What really builds a relationship is when we relate to what we don\'t understand about God.  #Emunah #SemST',Atheism,AGAINST
'I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST',Atheism,AGAINST
'Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST',Atheism,AGAINST
'By faith we receive what Christ did for us and we repent to show that we have received what He did. #repentance #atonement #SemST',Atheism,AGAINST
'Let Your fear come upon every soul in my city -Acts 2:43 #SemST',Atheism,AGAINST
'Absolutely fucking sick & tired of the religious and their \"\"We\'re persecuted\"\" bollocks! So fucking what? Pissoff! #SemST',Atheism,FAVOR
'Join me on #Periscope M-F @ 8am! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST',Atheism,AGAINST
'Praise and thank God for everything in your life today. #grateful #SemST',Atheism,AGAINST
'If Jesus is present, it is impossible for your situation/environment to remain a desolate place! #Joy #Victory #NewThings #SonTalk #SemST',Atheism,AGAINST
'Heaven and earth will pass away, but My words will not pass away. Matthew 24:35 #Tworship #SemST',Atheism,AGAINST
'#KCA #VoteJKT48ID premierdigi: Are Facebook and Twitter good places to defend your faith? How do you communicate?   #christianity #d... #SemST',Atheism,AGAINST
'@CrownFmradio899 however impossible it may sound, I really would have loved to be like the lord #HaveYourSay #SemST',Atheism,AGAINST
'Imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #SemST',Atheism,FAVOR
'Job said \"\"The thing I greatly feared has come upon me and that which I was afraid of has happened to me\"\" Job 3:25  fear opens doors  #SemST',Atheism,AGAINST
'Jesus, you are my helper. Help me to rest and trust in you and your finished work at the Cross. Amen. #SemST',Atheism,AGAINST
'The Lord is pleased w/every effort,even tiny,daily ones in which we strive to be more like Him.~Ezra Taft Benson  #lds #inspiration #SemST',Atheism,AGAINST
'I don\'t believe in the hereafter.  I believe in the here and now. #SemST',Atheism,FAVOR
'If you want to live as a healer, you must be willing to change places with those who are hurting. #God #SemST',Atheism,AGAINST
'Heb 10:12  this man, after he had offered one sacrifice for sins for ever, sat down on the right hand of God; #bible #SemST',Atheism,AGAINST
'Religious moderation is the product of secular knowledge and scriptural ignorance. - @SamHarrisOrg  #SemST',Atheism,AGAINST
'Remember, #God has it all worked out. #SemST',Atheism,AGAINST
'What we are is what we define the world to be. #existentialism #spirituality #SemST',Atheism,AGAINST
'I\'m making it happen tho  S/O to GOD . #Patience #Priorities #SemST',Atheism,AGAINST
'May the Gods grant me many more freelance gigs in PDX #intention #SemST',Atheism,AGAINST
'My son, be wise, and make my heart glad, that I may answer him that reproacheth me. Proverbs 27:11 #SemST',Atheism,AGAINST
'Had a great time @ worship rehearsal.Cant wait till Sunday ! #bridgechurch2015 #bridgelaunchteam #Willacycounty #weloveyou #SemST',Atheism,AGAINST
'Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST',Atheism,AGAINST
'@godless_mom I like how Jesus is reduced to appearing on toast and photoshopped images and they still praise it. #SemST',Atheism,FAVOR
'The greatest tragedy in life is the prayers that go unanswered because they go unasked. #ghlondon #SemST',Atheism,AGAINST
'@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don\'tmurder #SemST',Atheism,FAVOR
'We become what we worship. So be intentional in choosing what you worship for that is what you will become. #worship #SemST',Atheism,AGAINST
'Steppin\' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #SemST',Atheism,AGAINST
'Isaiah 43:15 I am the Lord, your Holy One, the Creator of Israel, your King. #God #SemST',Atheism,AGAINST
'Come to me, all you who are weary and burdened, and I will give you rest. - Matt 11:28 #Rest #Peace #Scripture #Bible #SemST',Atheism,AGAINST
'From the end of the earth I call to You when my heart is faint; Lead me to the rock that is higher than I Psalm 61:2 NASB #HeIsHigher #SemST',Atheism,AGAINST
'(2/2) the Father\'s active goodness and unrestricted love. - Ruthless Trust by Manning.... Lord, may I forever trust your love for me. #SemST',Atheism,AGAINST
'Bind up the wounds of those whose cry comes to You, O God, rising like a tide, whose hope is in You alone. #grace #SemST',Atheism,AGAINST
'My Jesus, I wish to do nothing but Thy most holy will. #Saint Philip Neri #Catholic #SemST',Atheism,AGAINST
'Jer 20:11 But the #LORD is with me like a mighty warrior; so my persecutors will stumble and not prevail > #God #Love #SemST',Atheism,AGAINST
'By accepting religion, you are pulling a big fuzz ball of superstition into your brain.  #freethinker #SemST',Atheism,FAVOR
'I love God  but \"\"We get raped in life by demons and then judged for being negative and complaining\"\" by Christians. #God #SemST',Atheism,AGAINST
'As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST',Atheism,FAVOR
'One Nation on their knees, with blowjobs and semen for all. Heavens to Betsy! #ReligionIsBullshit  #fyilive #SemST',Atheism,FAVOR
'I hope for a time when schools teach \'ethics\' instead of \'religion\'. Sure - inc faiths bt in a sociocultl, geopoliticl context #SemST',Atheism,FAVOR
'What other nation is so great as to have their gods near them the way the Lord our God is near us whenever we pray to him? #Eritrea #SemST',Atheism,AGAINST
'We have to #Pray with our eyes on #God, not on the difficulties. request #Godanswersprayers #SemST',Atheism,AGAINST
'Enough sneaking around, bringing in religious groups into #abed public #schools to access our kids in secrecy. #parents #SexED #SemST',Atheism,FAVOR
'Choose Him who died so that you may live, over him who lives so that you may die.  - WTL Apologetics  #DeadToSin #AliveInChrist #SemST',Atheism,AGAINST
'@aigkenham @ATHE1STP0WER compromise your intentional ignorance all the way to freedom from religion. The best plan ever! #SemST',Atheism,AGAINST
'Subtract secularism from modern systems of superstition & you\'ll be left with the ancient anarchy of archaic theocracy.  #SemST',Atheism,FAVOR
'@flipflops I can confirm. They also worship #Hitler, the atheist diety and inventor of #SemST',Atheism,AGAINST
'Mark 8.36-38.KJV  For what shall it profit a man, if he shall #gain the whole #world, and lose his own #soul?...\"\" #Pray #Love #SemST',Atheism,AGAINST
'Question to the #religious folks out there who can\'t comprehend the universe having began without a God. Where did God come from? #SemST',Atheism,FAVOR
'@evrttbrd this is PRECIOUS. omg go get em #Europe4Jesus #awakeningeurope #benfitz #bethel #paulyman #heidsbakes #father #jc #abba #SemST',Atheism,AGAINST
'@Movingdisaster @roomansi2010  Believe and Obey.  Believe Jesus is the Messiah who saves us from sin by His death. Obey Acts 2:38-39. #SemST',Atheism,AGAINST
'If the governments of all countries were secular, the world would be a much different, probably better, place. Realising this now. #SemST',Atheism,FAVOR
'@truthway_eng  Jesus commands you to follow Acts 2:38-39 to be saved. #christian #christ #Mary #Bible #church #trinity #usa #uk #aus #SemST',Atheism,AGAINST
'What is the deal with #Christian people always needing to feel like they are persecuted? #ReligiousFreedom #tcot #SemST',Atheism,FAVOR
'Patriotism and Humanism are impossible for someone who takes #Islam too seriously. #SemST',Atheism,FAVOR
'Bethany Hamilton Reveals She is Resting in God\'s Promises Despite \'Unknow #bible #biblestudy #scripture #Christianity #ChristianNews #SemST',Atheism,AGAINST
'While scientists fantasize about bugs I am considering gods.  ~~   #TheLUPOL #theism #futurism #singularity #AncientAliens #SemST',Atheism,AGAINST
'#Religions can\'t all be right, but they can all be wrong. #SemST',Atheism,FAVOR
'No, I\'m not calling myself \"\"agnostic\"\" because my atheism scares you and u dont know what words mean. #SemST',Atheism,FAVOR
'Irony: When a #creationist tweets about #science being wrong on a device that couldn\'t have existed without it.  #SemST',Atheism,FAVOR
'Husbands, love your wives, as Christ loved the church and gave himself up for her, (Ephesians 5:25 ESV) #marriage #Christian #SemST',Atheism,AGAINST
'@ACLU Get rid of religion... and all this will go away overnight... #humanist #egalitarian #SemST',Atheism,FAVOR
'Never debate with the devil... Give him an instruction to get behind you!!  #SemST',Atheism,AGAINST
'Existing is something god have never been proficient at.  #SemST',Atheism,FAVOR
'Beginning to wonder if Rev. 13:17 mark, buying & selling is relevant ala corporations\' behavior (Civil War games), etc. #bible #SemST',Atheism,AGAINST
'When we have done all in our power that the Lord will find a way to open doors. - Spencer W. Kimball #courage #hope #SemST',Atheism,AGAINST
'RT @XO_NayeLashay: In love with Gospel music .. Heals my soul ,lifts my spirits, clears my mind & makes me appreciate what I do have. #SemST',Atheism,AGAINST
'Mark 6:35-36 My Father, anything that has been scaring and hindering  good from coming my way, Lord let it disappear #RCCGTR #SemST',Atheism,AGAINST
'I have my work and my faith... If that\'s boring to some people, I can\'t tell you how much I don\'t care. ~Madonna Ciccone #SemST',Atheism,AGAINST
'How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST',Atheism,FAVOR
'Surely the Sovereign LORD does nothing without revealing his plan to his servants the prophets\"\" #Amos3v7 #SemST',Atheism,AGAINST
'Proverbs 28:5 (KJV) Evil men understand not judgment: but they that seek the Lord understand all things. #heart #SemST',Atheism,AGAINST
'As always, please remember: fuck Harper, fuck conservatives , fuck religion #fuckharper #NDP  #fuckcons #SemST',Atheism,FAVOR
'My prayer is that you live as long as you want and not want as long as you live. #longlife #SemST',Atheism,AGAINST
'I believe that \"\"sacred\"\" is an ap term to describe existence #celebrant #SemST',Atheism,AGAINST
'Man this is going to test me..  Giving all my prayers and questions to The Lord and Savior Jesus Christ.. He will guide me! #hope #SemST',Atheism,AGAINST
'We\'d like to welcome Lucy Dee to the Atheist Apocalypse team!   May God have mercy on your soul!   #God #mercy #podcast #SemST',Atheism,AGAINST
'Life certainly has a way of humbling you. This last year and a half has been filled with trials and tribulations. But God! #patience #SemST',Atheism,AGAINST
'The experience of most LGBT people shows them that organised religion is often nothing but structured bullying. #SemST',Atheism,FAVOR
'Just a reminder that humans do not need salvation. We need clean water, food, housing, healthcare, and education. #SemST',Atheism,FAVOR
'Jesus is not dead , he wasn\'t real !notdead #SemST',Atheism,FAVOR
'@SenSanders there\'s God. Loving each other unconditionally is what matters. #SemST',Atheism,AGAINST
'Lord, bring health and a cure to every area of my life, and give me the abundance of peace -Jer. 33:6 #SemST',Atheism,AGAINST
'This is love: not that we loved God, but that he loved us and sent his Son as an atoning sacrifice for our sins. 1 John 4:10 #love #SemST',Atheism,AGAINST
'#IslamicScholars have to re-think and to do research on this single but vital point. #Pakistan #Islam #HolyQuran #Hadith #SemST',Atheism,AGAINST
'RT @PaulGetter: When your past calls, don\'t answer. It has nothing new to say. #TeamJesus #SemST',Atheism,AGAINST
'Bless those with a broken soul #SemST',Atheism,AGAINST
'After Hindu girls #Sheila #Munni and Muslim #Razia, it\'s time for Christian #Mary in the item song world. #Bollywood #SemST',Atheism,AGAINST
'..    \"\" \"\"So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST',Atheism,AGAINST
'The enemy is not #Muslims #Christians or #Judaism. The real enemy is EXTREMISM.  Humans killing humans. #RespectBeliefs #StopWar #SemST',Atheism,AGAINST
'John 10:11 I am the good shepherd; the good shepherd lays down His life for the sheep. #God #Christ #Hallelujah #Amen #SemST',Atheism,AGAINST
'Its really incredible how much this world needs the work of missionaries! #futuremissionary #lds #hope #shallnotfear #SemST',Atheism,AGAINST
'Luke 11:5-9, 18:1-8 \"\"Oh Lord, avenge me of my adversary...\"\" #PstPeterock #EmpowermentService #SemST',Atheism,AGAINST
'God is good all of the time. All of the time, God is good! #YHWH #Yeshua #God #SemST',Atheism,AGAINST
'IF GOD BROUGHT YOU TO IT , HE\'LL BRING YOU THROUGH IT. #GODKNOWS #WHATHEDOING #BEPATIENT #TRUSTANDBELIEVE #SemST',Atheism,AGAINST
'That scriptures Aunt just sent me was clutch!!!!  #SemST',Atheism,AGAINST
'Before I proceed in any direction...Prayer has to lead me ..follow that and you can\'t fail  #startup  #ThinkandgrowRich #SemST',Atheism,AGAINST
'The people who walk in darkness Will see a great light; Those who live in a dark land, The light will shine on them. Isaiah 9:2 #SemST',Atheism,AGAINST
'sing unto the LORD; for he hath done excellent things: this is known in all the earth - Isaiah 12:5 #blessings #SemST',Atheism,AGAINST
'A gift from God, live your day responsibly and without regrets.     #amwriting #parenting #amreading #Christianity #sports #SemST',Atheism,AGAINST
'Azerbaijan: Pray for President Ilham Aliyev\'s salvation. #vom #pray #SemST',Atheism,AGAINST
'The #Church is a hospital but the doctor is one: #Christ!! #SemST',Atheism,AGAINST
'@Ageoftheatheist ~ \"\"Age of the #Atheist\"\" where life has no purpose & no hope! #SemST',Atheism,AGAINST
'Give us the gifts and graces to be your vessels. Amen #SemST',Atheism,AGAINST
'In the big picture, religion is bad for society because it blunts reason.   #freethinker #SemST',Atheism,FAVOR
'Religion has destroyed the ability for some to say know.   #SemST',Atheism,FAVOR
'I pray for the best for everybody!!! #SemST',Atheism,AGAINST
'@Brasilmagic @neiltyson there\'s no god 2b tired of, just tired o ppl believing in such nonsense. Time 2 focus on reality, HUMANITY #SemST',Atheism,FAVOR
'There are dreams and desires that #God has placed in your heartthey are a part of your divine destiny. #SemST',Atheism,AGAINST
'@MuhammadAli except for your belief in Allah. Gods are imaginary. Love and humanity are real. I love you. Be well and take care. #SemST',Atheism,FAVOR
'AtheistQ \"\"God\'s guidance is the only excuse for a man who can\'t find a better justification for his actions. #SemST',Atheism,FAVOR
'You and I are part and parcel of everything else. Embrace this. #spirituality #SemST',Atheism,AGAINST
'All that is needed for God for something to happen is to say \"\"#Be\"\" and it is; for God is capable of all things. #God created #trinity #SemST',Atheism,AGAINST
'8 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST',Atheism,AGAINST
'Heap mischief upon them, and spend Your arrows upon them -Deut. 32:23 #SemST',Atheism,AGAINST
'God is good all the time, all the time God is good #unconditionallove #SemST',Atheism,AGAINST
'Shit just don\'t stop but 1 thing I will not question God #SemST',Atheism,AGAINST
'1of 2 #Never be #afraid to and never #apologise for using the #word of #GOD as #analogies to #explain something in a #setting! #SemST',Atheism,AGAINST
'How soon do you think WWIII &WWWIV will begin? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST',Atheism,FAVOR
'The humble trust in God: \'Whoever leans on, trusts in, and is confident in the Lord  happy, blessed, and fortunate is he\' #SemST',Atheism,AGAINST
'Where will you be when @NewHorizons2015 flies by Pluto? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST',Atheism,FAVOR
'No one can out woo God in the woo department - Claudia May  #godisloveislove #blacklives #SemST',Atheism,AGAINST
'What is the #energiewende agenda? Why are they not in the \"\"de-carbonizer\"\" camp?.  How long will you tolerate the lies?  #SemST','Climate Change is a Real Concern',FAVOR
'@climasphere Stocker: Fish catch potential could drop by as much as 50\% in some areas due to #oceanacidification. #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'Boni \"\"Future Sea level rise will not be uniform & different for coasts\"\" #CCFC15 #Journey2015 #SemST','Climate Change is a Real Concern',FAVOR
'@climasphere Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions\"\" #CCFC15 #journey2015 #SemST','Climate Change is a Real Concern',FAVOR
'Interesting speaker Maarten Van Aalst @Federation how their humanitarian experience can help Climate scientists #CCFC15 #SemST','Climate Change is a Real Concern',FAVOR
'grow food not lawns  Lawns are Ecocide in your yard. #Patriarchy is Ecocide of your own species #DominoEffect #SemST','Climate Change is a Real Concern',FAVOR
'This halcyon summer is over. Climate is on the move. Doug Kelbaugh #CNU23 #declarationsignee #SemST','Climate Change is a Real Concern',FAVOR
'Citizens have a right to access information that would protect their lives against #risk #CLIMWARN #CFCC15 #vulnerability #SemST','Climate Change is a Real Concern',FAVOR
'That moment when Canadians realised global warming doesn\'t equal a tropical vacation #BCwildfire #Canadaburns #SemST','Climate Change is a Real Concern',FAVOR
'We NEED alternatives to #fossilfuel, but also need to maintain our #economy! This change will be gradual so lets START NOW! #SemST','Climate Change is a Real Concern',FAVOR
'#Defrance: displacements due to natural disasters higher than those caused by conflicts #migration #development #CFCC #S2242 #SemST','Climate Change is a Real Concern',FAVOR
'We don\'t inherit the earth from our parents we borrow it from our children #Conservation #Perspective #SemST','Climate Change is a Real Concern',FAVOR
'.@vj44 @POTUS Yay! We\'d love to convert to solar power! PG&E plan to raise our rates again. #ActOnClimate #p2 #SemST','Climate Change is a Real Concern',FAVOR
'#rsaeconomy: #tax can surely play a greater role in helping richer countries slow emissions and poor countries transition. #SemST','Climate Change is a Real Concern',FAVOR
'It\'s raining and feels like fall I don\'t know what kinda summer this is  #isReal #SemST','Climate Change is a Real Concern',FAVOR
'We can address both climate change and sustainable development with the same measures @CFigueres #SDGs #climateaction #COP21 #SemST','Climate Change is a Real Concern',FAVOR
'@RachelNotley what\'s the plan for getting job-creating big green energy corps located here in #alberta? #taxbreaks #jobs #SemST','Climate Change is a Real Concern',FAVOR
'#Mission:#Climate @ home > Purchase renewable power from your utility (by @AveKathleen) #Tip #ImpactIsReal #SemST','Climate Change is a Real Concern',FAVOR
'There\'s no more normal rains anymore. Always storms, heavy and flooding. #SemST','Climate Change is a Real Concern',FAVOR
'@AlanBrownSNP HS2 does too much damage to local communities + to the environment,they use 60\% more fuel than regular trains. #SemST','Climate Change is a Real Concern',FAVOR
'Also what\'s up with this ridiculous weather?? It was raining this morning and now it\'s like super hot! #weatherproblems #lame #SemST','Climate Change is a Real Concern',FAVOR
'Eager to learn at the Modern Prosperity event at the @hfxpublib hosted by  @EcologyAction #carbonpricing #jobsjusticeclimate #SemST','Climate Change is a Real Concern',FAVOR
'The #carbontrading in #Quebec has very ambitious GHG reduction target of 20\% #nspoli #SemST','Climate Change is a Real Concern',FAVOR
'@jiminhofe anthropogenicthat which is caused by humans; #SnowballJim #SemST','Climate Change is a Real Concern',FAVOR
'I thought Seattle was supposed to have a lot more rain #drought #SemST','Climate Change is a Real Concern',FAVOR
'On a scale of 1 to 10 the air quality in Whistler is a 35. #wildfires #BCwildfire #SemST','Climate Change is a Real Concern',FAVOR
'@catethegreat52 yes Catherine, the future of human civilisation depends on this generation & how it acts on #Auspol #SemST','Climate Change is a Real Concern',FAVOR
'We are causing the ice masses of Earth to melt at an alarming rate. #SemST','Climate Change is a Real Concern',FAVOR
'@mdrewnz Will @NZGreens support Canterbury Rocket + Nuclear Power for NZ? Send our nuclear waste to space @GenerationZer0 #SemST','Climate Change is a Real Concern',FAVOR
'@Sam6869 research is irrelevant when biosphere is on the brink of collapse. #deforestation #6thExtinction #war #SemST','Climate Change is a Real Concern',FAVOR
'Turn the Liverpool Plains into a coal mine...is there any bad idea this government doesn\'t like? #FoodBowl #Shenhua #auspol #SemST','Climate Change is a Real Concern',FAVOR
'@CBSNewYork Seems the marine animals are finally declaring war on man due to man-made environmental destruction. #SemST','Climate Change is a Real Concern',FAVOR
'Seems I may yet get my Climate Apocalypse >:) You fucking morons! #Shenhua #LNPFAIL #keepitintheground #SemST','Climate Change is a Real Concern',FAVOR
'What do you do to help reverse climate change? Tweet your tips to inspire others! #Tip #SavePolarBear #SemST','Climate Change is a Real Concern',FAVOR
'You know things are pretty out of control when you\'re happy to have \"\"only\"\" 30 degrees C indoor and it feels good. #SemST','Climate Change is a Real Concern',FAVOR
'Will the world place sanctions on #Australia for it\'s insane pursuit of new massive #coal mines? #UN #auspol #sanctions #SemST','Climate Change is a Real Concern',FAVOR
'Now moving from summer season to........ Life, too moves from...  #climate #weatherchange #rain #forecast #wind #SemST','Climate Change is a Real Concern',FAVOR
'Climate change is my issue - make it yours #Zim #SemST','Climate Change is a Real Concern',FAVOR
'#Mission:#Climate @ home > Don\'t let heat escape from your house over a long period #Tip #EarthRightNow #SemST','Climate Change is a Real Concern',FAVOR
'Today Europe is breaking heat records, while Asia is breaking the lowest temperature records!! Should we not be concerned?!  #SemST','Climate Change is a Real Concern',FAVOR
'Paul Leadley Talking about #biodiversity scenarios under #h22 #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
